logged_at,refresh_index,uptime_seconds,frame_count,time_window_seconds,latest_frame_timestamp,rssi_dbm,motion_state,status_text,is_calibrated,calibration_progress,motion_energy,foreground_ratio,peak_delta
2026-04-20T23:44:26,1,4.166,80,1.034,2026-04-20T23:44:26.667,-44.00,CALIBRATING,背景穩定,1,1.0000,0.025756,0.038462,0.156624
2026-04-20T23:44:26,0,4.167,80,1.034,2026-04-20T23:44:26.667,-44.00,CALIBRATING,背景穩定,1,1.0000,0.025756,0.038462,0.156624
2026-04-20T23:44:27,2,4.359,80,1.173,2026-04-20T23:44:26.915,-44.00,CALIBRATING,背景穩定,1,1.0000,0.028968,0.000000,0.127860
2026-04-20T23:44:27,3,4.623,80,1.168,2026-04-20T23:44:27.168,-44.00,CALIBRATING,背景穩定,1,1.0000,0.019923,0.019231,0.147521
2026-04-20T23:44:27,4,4.875,80,1.167,2026-04-20T23:44:27.410,-44.00,CALIBRATING,背景穩定,1,1.0000,0.021876,0.019231,0.150829
2026-04-20T23:44:29,5,6.482,80,0.886,2026-04-20T23:44:29.049,-45.00,CALIBRATING,背景穩定,1,1.0000,0.029673,0.038462,0.183533
2026-04-20T23:44:29,6,6.927,80,0.816,2026-04-20T23:44:29.489,-44.00,CALIBRATING,背景穩定,1,1.0000,0.032238,0.038462,0.175489
2026-04-20T23:44:29,7,7.287,80,0.664,2026-04-20T23:44:29.856,-45.00,CALIBRATING,背景穩定,1,1.0000,0.026319,0.019231,0.154980
2026-04-20T23:44:30,8,7.395,80,0.664,2026-04-20T23:44:29.856,-45.00,CALIBRATING,背景穩定,1,1.0000,0.026319,0.019231,0.154980
2026-04-20T23:44:30,9,7.898,80,0.732,2026-04-20T23:44:30.437,-44.00,CALIBRATING,背景穩定,1,1.0000,0.034307,0.038462,0.171875
2026-04-20T23:44:30,10,8.235,80,0.656,2026-04-20T23:44:30.801,-44.00,CALIBRATING,背景穩定,1,1.0000,0.044523,0.115385,0.211881
2026-04-20T23:44:31,11,8.536,80,0.850,2026-04-20T23:44:31.098,-51.00,IDLE,背景穩定,1,1.0000,0.077069,0.173077,0.290827
2026-04-20T23:44:31,12,8.638,80,0.850,2026-04-20T23:44:31.098,-51.00,IDLE,背景穩定,1,1.0000,0.077069,0.173077,0.290827
2026-04-20T23:44:31,13,9.152,80,0.934,2026-04-20T23:44:31.663,-48.00,IDLE,場景相對基線已有差異,1,1.0000,0.088067,0.326923,0.267169
2026-04-20T23:44:31,14,9.222,80,0.934,2026-04-20T23:44:31.663,-48.00,IDLE,場景相對基線已有差異,1,1.0000,0.088067,0.326923,0.267169
2026-04-20T23:44:32,15,9.717,80,0.789,2026-04-20T23:44:32.283,-42.00,IDLE,場景相對基線已有差異,1,1.0000,0.067495,0.230769,0.203047
2026-04-20T23:44:32,16,10.234,80,0.751,2026-04-20T23:44:32.783,-42.00,IDLE,場景相對基線已有差異,1,1.0000,0.065986,0.192308,0.199800
2026-04-20T23:44:33,17,10.577,80,0.833,2026-04-20T23:44:33.116,-42.00,IDLE,場景相對基線已有差異,1,1.0000,0.092973,0.384615,0.241814
2026-04-20T23:44:33,18,10.656,80,0.833,2026-04-20T23:44:33.116,-42.00,IDLE,場景相對基線已有差異,1,1.0000,0.092973,0.384615,0.241814
2026-04-20T23:44:33,19,11.165,80,0.784,2026-04-20T23:44:33.732,-43.00,IDLE,場景相對基線已有差異,1,1.0000,0.079831,0.269231,0.228604
2026-04-20T23:44:34,20,11.658,80,0.743,2026-04-20T23:44:34.189,-45.00,IDLE,背景穩定,1,1.0000,0.046348,0.115385,0.253444
2026-04-20T23:44:34,21,11.739,80,0.743,2026-04-20T23:44:34.189,-45.00,IDLE,背景穩定,1,1.0000,0.046348,0.115385,0.253444
2026-04-20T23:44:34,22,12.112,80,0.814,2026-04-20T23:44:34.641,-45.00,IDLE,背景穩定,1,1.0000,0.048579,0.038462,0.191869
2026-04-20T23:44:34,23,12.212,80,0.814,2026-04-20T23:44:34.641,-45.00,IDLE,背景穩定,1,1.0000,0.048579,0.038462,0.191869
2026-04-20T23:44:35,24,12.585,80,1.028,2026-04-20T23:44:35.144,-46.00,IDLE,背景穩定,1,1.0000,0.030838,0.000000,0.140926
2026-04-20T23:44:35,25,12.688,80,1.028,2026-04-20T23:44:35.144,-46.00,IDLE,背景穩定,1,1.0000,0.030838,0.000000,0.140926
2026-04-20T23:44:35,26,13.038,80,1.028,2026-04-20T23:44:35.602,-46.00,IDLE,背景穩定,1,1.0000,0.031751,0.019231,0.150715
2026-04-20T23:44:35,27,13.154,80,1.028,2026-04-20T23:44:35.602,-46.00,IDLE,背景穩定,1,1.0000,0.031751,0.019231,0.150715
2026-04-20T23:44:36,28,13.668,80,0.783,2026-04-20T23:44:36.231,-51.00,IDLE,場景相對基線已有差異,1,1.0000,0.074940,0.250000,0.283397
2026-04-20T23:44:36,29,14.052,80,0.640,2026-04-20T23:44:36.628,-49.00,IDLE,場景相對基線已有差異,1,1.0000,0.114571,0.423077,0.373128
2026-04-20T23:44:36,30,14.164,80,0.640,2026-04-20T23:44:36.628,-49.00,IDLE,場景相對基線已有差異,1,1.0000,0.114571,0.423077,0.373128
2026-04-20T23:44:37,31,14.676,80,0.707,2026-04-20T23:44:37.183,-51.00,IDLE,背景穩定,1,1.0000,0.055980,0.134615,0.234959
2026-04-20T23:44:37,32,15.189,80,0.742,2026-04-20T23:44:37.737,-55.00,IDLE,背景穩定,1,1.0000,0.049135,0.057692,0.141728
2026-04-20T23:44:38,33,15.555,80,0.726,2026-04-20T23:44:38.115,-50.00,IDLE,場景相對基線已有差異,1,1.0000,0.093009,0.365385,0.253425
2026-04-20T23:44:38,34,15.647,80,0.726,2026-04-20T23:44:38.115,-50.00,IDLE,場景相對基線已有差異,1,1.0000,0.093009,0.365385,0.253425
2026-04-20T23:44:38,35,16.174,80,0.845,2026-04-20T23:44:38.712,-44.00,IDLE,場景相對基線已有差異,1,1.0000,0.105261,0.423077,0.245188
2026-04-20T23:44:38,36,16.245,80,0.845,2026-04-20T23:44:38.712,-44.00,IDLE,場景相對基線已有差異,1,1.0000,0.105261,0.423077,0.245188
2026-04-20T23:44:39,37,16.613,80,0.841,2026-04-20T23:44:39.167,-45.00,IDLE,場景相對基線已有差異,1,1.0000,0.093041,0.346154,0.234978
2026-04-20T23:44:39,38,16.757,80,0.841,2026-04-20T23:44:39.167,-45.00,IDLE,場景相對基線已有差異,1,1.0000,0.093041,0.346154,0.234978
2026-04-20T23:44:39,39,16.859,80,0.841,2026-04-20T23:44:39.167,-45.00,IDLE,場景相對基線已有差異,1,1.0000,0.093041,0.346154,0.234978
2026-04-20T23:44:40,40,17.469,80,0.859,2026-04-20T23:44:40.017,-45.00,IDLE,背景穩定,1,1.0000,0.017982,0.000000,0.105584
2026-04-20T23:44:40,41,17.814,80,0.638,2026-04-20T23:44:40.355,-45.00,IDLE,背景穩定,1,1.0000,0.018717,0.000000,0.072986
2026-04-20T23:44:40,42,17.916,80,0.638,2026-04-20T23:44:40.355,-45.00,IDLE,背景穩定,1,1.0000,0.018717,0.000000,0.072986
2026-04-20T23:44:41,43,18.388,80,0.790,2026-04-20T23:44:40.941,-45.00,IDLE,背景穩定,1,1.0000,0.018474,0.000000,0.129452
2026-04-20T23:44:41,44,18.850,80,0.646,2026-04-20T23:44:41.387,-45.00,IDLE,背景穩定,1,1.0000,0.043209,0.057692,0.163736
2026-04-20T23:44:41,45,18.937,80,0.767,2026-04-20T23:44:41.517,-45.00,IDLE,背景穩定,1,1.0000,0.040735,0.057692,0.162632
2026-04-20T23:44:41,46,19.264,80,0.727,2026-04-20T23:44:41.840,-41.00,IDLE,背景穩定,1,1.0000,0.025354,0.000000,0.074376
2026-04-20T23:44:42,47,19.378,80,0.727,2026-04-20T23:44:41.840,-41.00,IDLE,背景穩定,1,1.0000,0.025354,0.000000,0.074376
2026-04-20T23:44:42,48,19.801,80,0.715,2026-04-20T23:44:42.363,-45.00,IDLE,背景穩定,1,1.0000,0.023265,0.000000,0.122824
2026-04-20T23:44:42,49,19.912,80,0.715,2026-04-20T23:44:42.363,-45.00,IDLE,背景穩定,1,1.0000,0.023265,0.000000,0.122824
2026-04-20T23:44:43,50,20.401,80,0.746,2026-04-20T23:44:42.943,-45.00,IDLE,背景穩定,1,1.0000,0.035442,0.000000,0.129699
2026-04-20T23:44:43,51,20.800,80,0.659,2026-04-20T23:44:43.343,-45.00,IDLE,背景穩定,1,1.0000,0.013502,0.000000,0.074747
2026-04-20T23:44:43,52,20.892,80,0.659,2026-04-20T23:44:43.343,-45.00,IDLE,背景穩定,1,1.0000,0.013502,0.000000,0.074747
2026-04-20T23:44:44,53,21.358,80,0.779,2026-04-20T23:44:43.928,-45.00,IDLE,背景穩定,1,1.0000,0.016868,0.000000,0.072683
2026-04-20T23:44:44,54,21.828,80,0.737,2026-04-20T23:44:44.363,-45.00,IDLE,背景穩定,1,1.0000,0.019689,0.000000,0.111255
2026-04-20T23:44:44,55,21.913,80,0.737,2026-04-20T23:44:44.363,-45.00,IDLE,背景穩定,1,1.0000,0.019689,0.000000,0.111255
2026-04-20T23:44:45,56,22.369,80,0.839,2026-04-20T23:44:44.936,-45.00,IDLE,背景穩定,1,1.0000,0.014764,0.000000,0.092288
2026-04-20T23:44:45,57,22.836,80,0.716,2026-04-20T23:44:45.386,-45.00,IDLE,背景穩定,1,1.0000,0.014275,0.000000,0.091788
2026-04-20T23:44:45,58,22.936,80,0.716,2026-04-20T23:44:45.386,-45.00,IDLE,背景穩定,1,1.0000,0.014275,0.000000,0.091788
2026-04-20T23:44:46,59,23.385,80,0.830,2026-04-20T23:44:45.946,-45.00,IDLE,背景穩定,1,1.0000,0.042470,0.038462,0.141847
2026-04-20T23:44:46,60,23.690,80,0.639,2026-04-20T23:44:46.242,-45.00,IDLE,背景穩定,1,1.0000,0.035414,0.000000,0.085459
2026-04-20T23:44:46,61,24.168,80,0.759,2026-04-20T23:44:46.705,-45.00,IDLE,背景穩定,1,1.0000,0.025307,0.000000,0.096809
2026-04-20T23:44:47,62,24.630,80,0.740,2026-04-20T23:44:47.188,-43.00,IDLE,背景穩定,1,1.0000,0.035883,0.038462,0.148278
2026-04-20T23:44:47,63,24.931,80,0.825,2026-04-20T23:44:47.486,-42.00,IDLE,背景穩定,1,1.0000,0.032869,0.038462,0.153770
2026-04-20T23:44:48,64,25.453,80,0.726,2026-04-20T23:44:48.021,-45.00,IDLE,背景穩定,1,1.0000,0.020748,0.000000,0.119267
2026-04-20T23:44:48,65,25.933,80,0.767,2026-04-20T23:44:48.485,-45.00,IDLE,背景穩定,1,1.0000,0.030802,0.057692,0.163731
2026-04-20T23:44:49,66,26.420,80,0.720,2026-04-20T23:44:48.946,-42.00,IDLE,背景穩定,1,1.0000,0.019211,0.000000,0.109318
2026-04-20T23:44:49,67,26.913,80,0.740,2026-04-20T23:44:49.471,-46.00,IDLE,背景穩定,1,1.0000,0.019871,0.000000,0.056971
2026-04-20T23:44:50,68,27.407,80,0.727,2026-04-20T23:44:49.916,-45.00,IDLE,背景穩定,1,1.0000,0.015452,0.000000,0.056677
2026-04-20T23:44:50,69,27.893,80,0.822,2026-04-20T23:44:50.414,-46.00,IDLE,背景穩定,1,1.0000,0.016059,0.000000,0.077946
2026-04-20T23:44:50,70,27.955,80,0.822,2026-04-20T23:44:50.414,-46.00,IDLE,背景穩定,1,1.0000,0.016059,0.000000,0.077946
2026-04-20T23:44:51,71,28.410,80,0.844,2026-04-20T23:44:50.975,-45.00,IDLE,背景穩定,1,1.0000,0.014076,0.000000,0.074718
2026-04-20T23:44:51,72,28.885,80,0.725,2026-04-20T23:44:51.426,-46.00,IDLE,背景穩定,1,1.0000,0.017331,0.000000,0.079737
2026-04-20T23:44:51,73,28.959,80,0.725,2026-04-20T23:44:51.426,-46.00,IDLE,背景穩定,1,1.0000,0.017331,0.000000,0.079737
2026-04-20T23:44:51,74,29.098,80,0.725,2026-04-20T23:44:51.426,-46.00,IDLE,背景穩定,1,1.0000,0.017331,0.000000,0.079737
2026-04-20T23:44:52,75,29.601,80,0.929,2026-04-20T23:44:52.191,-48.00,IDLE,背景穩定,1,1.0000,0.034763,0.000000,0.087158
2026-04-20T23:44:52,76,29.710,80,0.929,2026-04-20T23:44:52.191,-48.00,IDLE,背景穩定,1,1.0000,0.034763,0.000000,0.087158
2026-04-20T23:44:52,77,30.019,80,0.722,2026-04-20T23:44:52.587,-50.00,IDLE,場景相對基線已有差異,1,1.0000,0.070573,0.230769,0.210541
2026-04-20T23:44:52,78,30.096,80,0.722,2026-04-20T23:44:52.587,-50.00,IDLE,場景相對基線已有差異,1,1.0000,0.070573,0.230769,0.210541
2026-04-20T23:44:53,79,30.630,80,0.629,2026-04-20T23:44:53.155,-45.00,IDLE,場景相對基線已有差異,1,1.0000,0.091774,0.365385,0.308458
2026-04-20T23:44:53,80,30.678,80,0.629,2026-04-20T23:44:53.155,-45.00,IDLE,場景相對基線已有差異,1,1.0000,0.091774,0.365385,0.308458
2026-04-20T23:44:53,81,31.241,80,0.707,2026-04-20T23:44:53.787,-45.00,IDLE,場景相對基線已有差異,1,1.0000,0.102259,0.365385,0.394355
2026-04-20T23:44:54,82,31.580,80,0.661,2026-04-20T23:44:54.122,-51.00,IDLE,場景相對基線已有差異,1,1.0000,0.106737,0.423077,0.289406
2026-04-20T23:44:54,83,31.671,80,0.661,2026-04-20T23:44:54.122,-51.00,IDLE,場景相對基線已有差異,1,1.0000,0.106737,0.423077,0.289406
2026-04-20T23:44:54,84,32.187,80,0.803,2026-04-20T23:44:54.734,-42.00,IDLE,場景相對基線已有差異,1,1.0000,0.113282,0.403846,0.310265
2026-04-20T23:44:55,85,32.700,80,0.751,2026-04-20T23:44:55.241,-52.00,IDLE,場景相對基線已有差異,1,1.0000,0.105000,0.346154,0.316829
2026-04-20T23:44:55,86,33.218,80,0.821,2026-04-20T23:44:55.759,-44.00,IDLE,場景相對基線已有差異,1,1.0000,0.094589,0.326923,0.287294
2026-04-20T23:44:56,87,33.574,80,0.887,2026-04-20T23:44:56.128,-54.00,IDLE,背景穩定,1,1.0000,0.054114,0.173077,0.171637
2026-04-20T23:44:56,88,33.669,80,0.887,2026-04-20T23:44:56.128,-54.00,IDLE,背景穩定,1,1.0000,0.054114,0.173077,0.171637
2026-04-20T23:44:56,89,34.194,80,0.806,2026-04-20T23:44:56.742,-43.00,IDLE,背景穩定,1,1.0000,0.064757,0.153846,0.208039
2026-04-20T23:44:57,90,34.616,80,0.700,2026-04-20T23:44:57.167,-44.00,IDLE,背景穩定,1,1.0000,0.059927,0.115385,0.179011
2026-04-20T23:44:57,91,34.722,80,0.700,2026-04-20T23:44:57.167,-44.00,IDLE,背景穩定,1,1.0000,0.059927,0.115385,0.179011
2026-04-20T23:44:57,92,35.231,80,0.810,2026-04-20T23:44:57.776,-45.00,IDLE,背景穩定,1,1.0000,0.056025,0.076923,0.194204
2026-04-20T23:44:58,93,35.742,80,0.755,2026-04-20T23:44:58.282,-46.00,IDLE,背景穩定,1,1.0000,0.041585,0.000000,0.137407
2026-04-20T23:44:58,94,36.257,80,0.763,2026-04-20T23:44:58.797,-45.00,IDLE,背景穩定,1,1.0000,0.017397,0.000000,0.047123
2026-04-20T23:44:59,95,36.573,80,0.691,2026-04-20T23:44:59.100,-45.00,IDLE,背景穩定,1,1.0000,0.006346,0.000000,0.020347
2026-04-20T23:44:59,96,36.655,80,0.818,2026-04-20T23:44:59.232,-42.00,IDLE,背景穩定,1,1.0000,0.005890,0.000000,0.020023
2026-04-20T23:44:59,97,37.208,80,0.751,2026-04-20T23:44:59.759,-45.00,IDLE,背景穩定,1,1.0000,0.013229,0.000000,0.051250
2026-04-20T23:45:00,98,37.746,80,0.682,2026-04-20T23:45:00.298,-45.00,IDLE,背景穩定,1,1.0000,0.017596,0.000000,0.071388
2026-04-20T23:45:00,99,38.176,80,0.689,2026-04-20T23:45:00.745,-46.00,IDLE,背景穩定,1,1.0000,0.008205,0.000000,0.025661
2026-04-20T23:45:00,100,38.287,80,0.689,2026-04-20T23:45:00.745,-46.00,IDLE,背景穩定,1,1.0000,0.008205,0.000000,0.025661
2026-04-20T23:45:01,101,38.392,80,0.689,2026-04-20T23:45:00.745,-46.00,IDLE,背景穩定,1,1.0000,0.008205,0.000000,0.025661
2026-04-20T23:45:01,102,38.901,80,0.856,2026-04-20T23:45:01.452,-42.00,IDLE,背景穩定,1,1.0000,0.035375,0.000000,0.079651
2026-04-20T23:45:02,103,39.381,80,0.622,2026-04-20T23:45:01.922,-45.00,IDLE,背景穩定,1,1.0000,0.009242,0.000000,0.035378
2026-04-20T23:45:02,104,39.896,80,0.675,2026-04-20T23:45:02.433,-45.00,IDLE,背景穩定,1,1.0000,0.012018,0.000000,0.031496
2026-04-20T23:45:02,105,39.984,80,0.675,2026-04-20T23:45:02.433,-45.00,IDLE,背景穩定,1,1.0000,0.012018,0.000000,0.031496
2026-04-20T23:45:03,106,40.498,80,0.734,2026-04-20T23:45:03.027,-42.00,IDLE,背景穩定,1,1.0000,0.014780,0.000000,0.068448
